arch,run_idx,seed,hazard_cost,env2_seed,env2_activation_step,env2_phase_1_end_step,env2_end_state_banked_step,env2_yellow_pre_transition_entries,env2_yellow_resolution_window,env2_green_pre_transition_entries,env2_green_resolution_window,env2_q5_chain_count,env2_q5_mean_chain_depth,att_blue_mastery_step,att_blue_mastery_env,predicted_record_state_at_run_end,att_blue_sequence_position,env2_mastery_order_sequence,env2_att_yellow_mastery_step,env2_att_green_mastery_step,env2_actual_steps
v1_14_1,0,202358875,0.1,202368875,,,,1,,0,,0,0.0,90,2,confirmed,,['att_free_0'],,66,91
v1_14_1,1,1869897005,0.1,1869907005,,,,1,,3,75,0,0.0,82,2,confirmed,,['att_free_0'],,75,83
v1_14_1,2,1489290374,0.1,1489300374,,,,2,,0,,0,0.0,742194,2,confirmed,,[],,742185,742195
v1_14_1,3,1108683743,0.1,1108693743,,,,1,,0,,0,0.0,193255,2,confirmed,,['att_free_0'],,,193256
v1_14_1,4,628738225,0.1,628748225,,,,1,,0,,0,0.0,278,2,confirmed,,['att_free_0'],,,279
v1_14_1,6,1915669724,0.1,1915679724,,,,1,7142,0,,0,0.0,7152,2,confirmed,,[],7142,,7153
v1_14_1,8,1154456462,0.1,1154466462,,,,1,,0,,0,0.0,,,unresolvable,,"['att_free_0', 'att_free_1', 'att_free_2']",,,800000
v1_14_1,10,10,1.0,10010,,,,1,,0,,0,0.0,160,2,confirmed,,['att_free_0'],,152,161
v1_14_1,11,1010,1.0,11010,,,,1,,0,,0,0.0,162777,2,confirmed,,['att_free_1'],,,162778
v1_14_1,13,3010,1.0,13010,,,,1,241270,0,,0,0.0,241325,2,confirmed,,['att_free_0'],241270,,241326
v1_14_1,14,4010,1.0,14010,,,,1,,0,,0,0.0,95,2,confirmed,,['att_free_0'],,,96
v1_14_1,15,5010,1.0,15010,,,,2,,0,,0,0.0,,,unresolvable,,"['att_free_0', 'att_free_2', 'att_free_3']",,,800000
v1_14_1,16,6010,1.0,16010,,,,1,,0,,0,0.0,204015,2,confirmed,,['att_free_0'],,,204016
v1_14_1,18,8010,1.0,18010,,,,1,,0,,0,0.0,70,2,confirmed,,['att_free_0'],,,71
v1_14_1,19,9010,1.0,19010,,,,3,,0,,0,0.0,,,unresolvable,,"['att_free_0', 'att_free_3', 'att_free_2']",,,800000
v1_14_1,21,1020,2.0,11020,,,,1,,1,60115,0,0.0,60123,2,confirmed,,['att_free_0'],,60115,60124
v1_14_1,22,2020,2.0,12020,,,,1,,0,,0,0.0,293,2,confirmed,,['att_free_0'],,,294
v1_14_1,23,3020,2.0,13020,,,,2,,0,,0,0.0,169745,2,confirmed,,[],,,169746
v1_14_1,24,4020,2.0,14020,,,,1,,0,,0,0.0,69,2,confirmed,,['att_free_0'],,32,70
v1_14_1,25,5020,2.0,15020,,,,1,35524,0,,0,0.0,35547,2,confirmed,,['att_free_2'],35524,,35548
v1_14_1,26,6020,2.0,16020,,,,1,,0,,0,0.0,107296,2,confirmed,,['att_free_0'],,,107297
v1_14_1,27,7020,2.0,17020,,,,1,,0,,0,0.0,3274,2,confirmed,,['att_free_0'],,,3275
v1_14_1,29,9020,2.0,19020,,,,1,,0,,0,0.0,14626,2,confirmed,,['att_free_0'],,,14627
v1_14_1,30,100,10.0,10100,,,,1,,0,,0,0.0,73,2,confirmed,,['att_free_0'],,,74
v1_14_1,31,1100,10.0,11100,,,,1,,0,,0,0.0,29222,2,confirmed,,['att_free_0'],,,29223
v1_14_1,32,2100,10.0,12100,,,,2,,0,,0,0.0,665455,2,confirmed,,['att_free_0'],,665447,665456
v1_14_1,33,3100,10.0,13100,,,,1,,0,,0,0.0,36,2,confirmed,,['att_free_0'],,,37
v1_14_1,34,4100,10.0,14100,,,,1,,0,,0,0.0,31969,2,confirmed,,[],,,31970
v1_14_1,35,5100,10.0,15100,,,,1,,0,,0,0.0,512,2,confirmed,,[],,,513
v1_14_1,37,7100,10.0,17100,,,,1,,0,,0,0.0,34136,2,confirmed,,['att_free_0'],,,34137
v1_14_1,38,8100,10.0,18100,,,,1,,0,,0,0.0,1313,2,confirmed,,[],,,1314
v1_14_1,39,9100,10.0,19100,,,,2,,0,,0,0.0,88375,2,confirmed,,['att_free_2'],,,88376
