arch,run_idx,agent,seed,hazard_cost,observation_step,observer_pos,observed_agent,observed_agent_pos,object_id,predicted_record_pre_state,predicted_record_post_state
v1_15_3,0,a,202358875,0.1,39,"(2.0, 2.0, 2.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,1,b,1869917005,0.1,83,"(11.0, 9.0, 5.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,2,a,1489290374,0.1,141752,"(9.0, 5.0, 2.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,3,a,1108683743,0.1,62,"(5.0, 2.0, 5.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,4,a,628738225,0.1,613,"(1.0, 3.0, 2.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,9,b,674530944,0.1,68,"(9.0, 5.0, 2.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,10,b,20010,1.0,42,"(5.0, 2.0, 5.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,11,a,1010,1.0,63,"(6.0, 5.0, 9.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,11,b,21010,1.0,64,"(5.0, 6.0, 10.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,13,b,23010,1.0,86,"(6.0, 8.0, 1.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,14,b,24010,1.0,46,"(2.0, 9.0, 4.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,16,a,6010,1.0,217,"(11.0, 9.0, 5.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,17,b,27010,1.0,37,"(3.0, 3.0, 3.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,18,b,28010,1.0,75,"(2.0, 3.0, 2.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,19,a,9010,1.0,85,"(1.0, 1.0, 3.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,20,a,20,2.0,1985,"(5.0, 2.0, 5.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,23,a,3020,2.0,76,"(9.0, 5.0, 2.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,24,b,24020,2.0,59,"(1.0, 7.0, 2.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,25,b,25020,2.0,16,"(0.0, 3.0, 2.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,26,a,6020,2.0,111,"(3.0, 4.0, 1.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,27,a,7020,2.0,65,"(9.0, 5.0, 2.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,28,a,8020,2.0,54,"(5.0, 2.0, 5.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,29,a,9020,2.0,189,"(5.0, 2.0, 5.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,32,b,22100,10.0,2433,"(9.0, 5.0, 2.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,33,b,23100,10.0,36,"(9.0, 5.0, 2.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,34,b,24100,10.0,442,"(6.0, 1.0, 4.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,36,b,26100,10.0,79,"(1.0, 1.0, 3.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,38,a,8100,10.0,12307,"(5.0, 2.0, 5.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_3,39,a,9100,10.0,48,"(5.0, 2.0, 2.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
