arch,run_idx,seed,hazard_cost,object_id,predicted_precondition,basis_chains,state,prediction_step,confirmation_step,confirming_env,unresolvable
v1_13_6,0,202358875,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,365000,89,2,False
v1_13_6,1,1869897005,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,735500,118,2,False
v1_13_6,2,1489290374,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,1000,,,True
v1_13_6,3,1108683743,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,7000,1993,2,False
v1_13_6,4,628738225,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,71500,,,False
v1_13_6,6,1915669724,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,137000,7100,2,False
v1_13_6,7,1535063093,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,8000,,,False
v1_13_6,8,1154456462,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,55500,93,2,False
v1_13_6,10,496635339,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,1000,,,False
v1_13_6,11,16689821,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,4500,,,False
v1_13_6,12,1783566838,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,730500,,,False
v1_13_6,13,1303621320,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,761500,326979,2,False
v1_13_6,14,923014689,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,154500,,,False
v1_13_6,17,1829339557,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,15500,64320,2,False
v1_13_6,18,1349394039,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,23000,16271,2,False
v1_13_6,19,968787408,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,1000,5642,2,False
v1_13_6,20,271697600,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,2000,81418,2,False
v1_13_6,21,1939235730,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,2000,126,2,False
v1_13_6,22,1558629099,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,8500,353,2,False
v1_13_6,24,698076950,2.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,852000,,,False
v1_13_6,25,317470319,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,73500,294,2,False
v1_13_6,26,1985008449,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,35500,12560,2,False
v1_13_6,27,1604401818,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,118500,20599,2,False
v1_13_6,30,565380326,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,122500,109,2,False
v1_13_6,31,184773695,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,15500,158,2,False
v1_13_6,32,1852311825,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,3500,,,False
v1_13_6,33,1471705194,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,563500,,,False
v1_13_6,34,1091098563,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,152000,65,2,False
v1_13_6,35,611153045,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,92500,,,True
v1_13_6,36,230546414,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,1000,,,True
v1_13_6,37,1898084544,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,6500,86,2,False
v1_13_6,38,1517477913,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,6000,7734,2,False
v1_13_6,39,1037532395,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,693500,,,False
