arch,run_idx,seed,hazard_cost,num_steps,activation_step,end_state_banked_step,steps_draw_to_bank,end_state_draw_active
v1_13,0,202358875,0.1,500000,,,,False
v1_13,1,1869897005,0.1,500000,,,,False
v1_13,2,1489290374,0.1,500000,,,,False
v1_13,3,1108683743,0.1,500000,,,,False
v1_13,4,628738225,0.1,500000,,,,False
v1_13,5,248131594,0.1,500000,,,,False
v1_13,6,1915669724,0.1,500000,,,,False
v1_13,7,1535063093,0.1,500000,,,,False
v1_13,8,1154456462,0.1,500000,,,,False
v1_13,9,674510944,0.1,500000,,,,False
v1_13,10,496635339,1.0,500000,,,,False
v1_13,11,16689821,1.0,500000,,,,False
v1_13,12,1783566838,1.0,500000,,,,False
v1_13,13,1303621320,1.0,500000,,,,False
v1_13,14,923014689,1.0,500000,,,,False
v1_13,15,542408058,1.0,500000,,,,False
v1_13,16,62462540,1.0,500000,,,,False
v1_13,17,1829339557,1.0,500000,,,,False
v1_13,18,1349394039,1.0,500000,,,,False
v1_13,19,968787408,1.0,500000,,,,False
v1_13,20,271697600,2.0,500000,,,,False
v1_13,21,1939235730,2.0,500000,,,,False
v1_13,22,1558629099,2.0,500000,,,,False
v1_13,23,1178022468,2.0,500000,,,,False
v1_13,24,698076950,2.0,500000,,,,False
v1_13,25,317470319,2.0,500000,,,,False
v1_13,26,1985008449,2.0,500000,,,,False
v1_13,27,1604401818,2.0,500000,,,,False
v1_13,28,1124456300,2.0,500000,,,,False
v1_13,29,743849669,2.0,500000,,,,False
v1_13,30,565380326,10.0,500000,,,,False
v1_13,31,184773695,10.0,500000,,,,False
v1_13,32,1852311825,10.0,500000,,,,False
v1_13,33,1471705194,10.0,500000,,,,False
v1_13,34,1091098563,10.0,500000,,,,False
v1_13,35,611153045,10.0,500000,,,,False
v1_13,36,230546414,10.0,500000,,,,False
v1_13,37,1898084544,10.0,500000,,,,False
v1_13,38,1517477913,10.0,500000,,,,False
v1_13,39,1037532395,10.0,500000,,,,False
