arch,run_idx,seed,hazard_cost,num_steps,object_id,surprise_step,resolution_step,resolution_window,suppressed_approach_count,pre_threshold_entries_at_surprise,bias_active_steps,approach_delta
,,,,,haz_yellow,505,364904,364399,149,1,194,12
,,,,,haz_yellow,505,536,31,1,1,30000,893
,,,,,haz_green,39861,735417,695556,320,3,168,9
,,,,,haz_yellow,505,534,29,1,1,934,61
,,,,,haz_yellow,505,535,30,1,1,12932,696
,,,,,haz_yellow,505,534,29,1,1,30000,886
,,,,,haz_yellow,505,534,29,1,1,30000,880
,,,,,haz_yellow,505,543,38,1,1,30000,888
,,,,,haz_yellow,505,538,33,1,1,30000,1036
,,,,,haz_yellow,505,55141,54636,29,1,720,36
,,,,,haz_yellow,505,534,29,1,1,30000,873
,,,,,haz_yellow,505,536,31,1,1,930,90
,,,,,haz_yellow,505,534,29,1,1,30000,984
,,,,,haz_yellow,505,582,77,2,1,30000,849
,,,,,haz_yellow,505,761133,760628,318,1,736,47
,,,,,haz_yellow,505,534,29,1,1,30000,913
,,,,,haz_yellow,505,1087,582,1,1,30000,955
,,,,,haz_yellow,505,535,30,1,1,30000,957
,,,,,haz_yellow,505,535,30,1,1,30000,964
,,,,,haz_yellow,505,22995,22490,11,1,42,6
,,,,,haz_yellow,505,535,30,1,1,932,62
,,,,,haz_yellow,505,536,31,1,1,30000,1004
,,,,,haz_yellow,505,534,29,1,1,2934,278
,,,,,haz_yellow,505,537,32,1,1,15928,767
,,,,,haz_yellow,505,534,29,1,1,30000,928
,,,,,haz_yellow,505,538,33,1,1,30000,997
,,,,,haz_yellow,505,1379,874,1,1,30000,943
,,,,,haz_yellow,505,535,30,1,1,30000,893
,,,,,haz_yellow,505,1097,592,1,1,30000,907
,,,,,haz_yellow,505,122413,121908,61,1,176,8
,,,,,haz_yellow,505,880,375,1,1,29242,913
,,,,,haz_yellow,505,535,30,1,1,5932,339
,,,,,haz_yellow,505,1390,885,1,1,30000,982
,,,,,haz_yellow,505,539,34,1,1,30000,1006
,,,,,haz_green,138604,151608,13004,51,1,786,44
,,,,,haz_yellow,505,59653,59148,29,1,30000,1012
,,,,,haz_unaff_2,24889,59663,34774,19,3,30000,936
,,,,,haz_yellow,505,535,30,1,1,932,76
,,,,,haz_yellow,505,734,229,2,1,11534,510
,,,,,haz_yellow,505,1523,1018,2,1,9482,466
,,,,,haz_yellow,505,1069,564,1,1,30000,910
,,,,,haz_unaff_2,18854,18858,4,10,1,30000,904
