arch,run_idx,seed,hazard_cost,num_steps,activation_step,end_state_banked_step,steps_draw_to_bank,end_state_draw_active
v1_10,0,202358875,0.1,320000,,,,False
v1_10,1,1869897005,0.1,320000,,,,False
v1_10,2,1489290374,0.1,320000,135379,135382,3,True
v1_10,3,1108683743,0.1,320000,,,,False
v1_10,4,628738225,0.1,320000,,,,False
v1_10,5,248131594,0.1,320000,,,,False
v1_10,6,1915669724,0.1,320000,,,,False
v1_10,7,1535063093,0.1,320000,,,,False
v1_10,8,1154456462,0.1,320000,56496,56499,3,True
v1_10,9,674510944,0.1,320000,,,,False
v1_10,0,496635339,1.0,320000,,,,False
v1_10,1,16689821,1.0,320000,,,,False
v1_10,2,1783566838,1.0,320000,,,,False
v1_10,3,1303621320,1.0,320000,,,,False
v1_10,4,923014689,1.0,320000,,,,False
v1_10,5,542408058,1.0,320000,,,,False
v1_10,6,62462540,1.0,320000,,,,False
v1_10,7,1829339557,1.0,320000,297223,310156,12933,True
v1_10,8,1349394039,1.0,320000,23052,23656,604,True
v1_10,9,968787408,1.0,320000,48827,48829,2,True
v1_10,0,271697600,2.0,320000,48891,48956,65,True
v1_10,1,1939235730,2.0,320000,254694,255106,412,True
v1_10,2,1558629099,2.0,320000,224924,225716,792,True
v1_10,3,1178022468,2.0,320000,,,,False
v1_10,4,698076950,2.0,320000,,,,False
v1_10,5,317470319,2.0,320000,,,,False
v1_10,6,1985008449,2.0,320000,218586,,,True
v1_10,7,1604401818,2.0,320000,847,920,73,True
v1_10,8,1124456300,2.0,320000,,,,False
v1_10,9,743849669,2.0,320000,,,,False
v1_10,0,565380326,10.0,320000,148923,148927,4,True
v1_10,1,184773695,10.0,320000,124609,124683,74,True
v1_10,2,1852311825,10.0,320000,,,,False
v1_10,3,1471705194,10.0,320000,,,,False
v1_10,4,1091098563,10.0,320000,,,,False
v1_10,5,611153045,10.0,320000,,,,False
v1_10,6,230546414,10.0,320000,72264,72270,6,True
v1_10,7,1898084544,10.0,320000,59235,59510,275,True
v1_10,8,1517477913,10.0,320000,,,,False
v1_10,9,1037532395,10.0,320000,,,,False
