arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
,,,,,haz_green,5,6.164414,1,True,0
,,,,,haz_blue,5,1.0,1,False,0
,,,,,haz_unaff_2,5,3.162278,1,False,0
,,,,,dist_green,4,4.358899,1,True,0
,,,,,haz_yellow,25,7.483315,1,False,0
,,,,,haz_unaff_0,104,6.164414,1,False,0
,,,,,haz_unaff_1,104,7.0,1,False,0
,,,,,haz_blue,509,3.0,1,False,0
,,,,,haz_unaff_2,509,3.741657,1,False,0
,,,,,haz_green,523,3.162278,1,True,0
,,,,,dist_green,505,5.656854,1,True,0
,,,,,haz_unaff_0,639,6.63325,2,False,0
,,,,,haz_yellow,639,5.0,2,False,1
,,,,,haz_unaff_1,639,8.185353,2,False,0
,,,,,haz_unaff_0,909,5.477226,2,False,0
,,,,,haz_unaff_1,909,7.0,2,False,0
,,,,,haz_yellow,667,4.242641,2,False,1
,,,,,haz_blue,1769,3.162278,2,False,0
,,,,,haz_unaff_2,2049,6.082763,2,False,0
,,,,,haz_green,1969,6.403124,2,True,0
,,,,,haz_unaff_0,1825,5.744563,2,False,0
,,,,,haz_unaff_1,1825,7.348469,2,False,0
,,,,,haz_green,3124,7.141428,2,True,0
,,,,,haz_green,5187,6.403124,2,True,0
,,,,,haz_unaff_0,5187,5.09902,2,False,0
,,,,,haz_unaff_1,5187,6.403124,2,False,0
,,,,,haz_blue,6187,3.0,2,False,0
,,,,,haz_yellow,5250,3.741657,2,False,1
,,,,,haz_unaff_0,6513,5.477226,2,False,0
,,,,,haz_unaff_1,6513,7.0,2,False,0
,,,,,haz_green,6919,6.403124,2,True,0
,,,,,haz_unaff_2,7623,5.477226,2,False,0
,,,,,haz_green,7125,6.403124,2,True,0
,,,,,haz_blue,9096,3.0,2,False,0
,,,,,haz_unaff_2,9141,5.477226,2,False,0
,,,,,haz_unaff_0,9141,5.0,2,False,0
,,,,,haz_unaff_1,9141,6.480741,2,False,0
,,,,,haz_unaff_0,10109,6.164414,2,False,0
,,,,,haz_unaff_1,10109,7.81025,2,False,0
,,,,,haz_yellow,10685,4.358899,2,False,1
,,,,,haz_unaff_2,10674,5.830952,2,False,0
,,,,,haz_green,10674,5.656854,2,True,0
